Module Number,Image,Attribution/Reference/Copyright,Link to image,License / Copyright Status
Module 9 ,"Loretta Saunders - Vigil in Ottawa, March 5, 2014",ibourgeault_tasse/Flickr/ CC BY 2.0/ Flickr/ CC BY 2.0 ,https://flic.kr/p/kL1Pf8,https://creativecommons.org/licenses/by/2.0/
Module 9 ,Murdered and missing Indigenous women,Howl Arts Collective/Flickr/ CC BY 2.0 ,https://flic.kr/p/gsTeKb,https://creativecommons.org/licenses/by/2.0/
Module 9 ,Murdered and missing Indigenous women,kim kim/Flickr/ CC BY 2.0 ,https://flic.kr/p/7DstCJ,https://creativecommons.org/licenses/by/2.0/
Module 9 ,Murdered and missing Indigenous women,kim kim/Flickr/ CC BY 2.0 ,https://flic.kr/p/7Dsww5,https://creativecommons.org/licenses/by/2.0/
Module 9 ,Supreme Court of Canada 2,NewYork1956/Wikipedia/ Public Domain,https://en.wikipedia.org/wiki/R_v_Drybones#/media/File:Supreme_Court_of_Canada_2.jpg,https://creativecommons.org/publicdomain/mark/1.0/
Module 9 ,Canadá: Mujeres indígenas British Columbia Sharon MvICor,Comisión Interamericana de Derechos Humanos/Flickr/ CC BY 2.0 ,https://flic.kr/p/FDDV73,https://creativecommons.org/licenses/by/2.0/
Module 9 ,"Cree women and a girl standing on a porch, Moose Factory, Ontario","Lachlan Taylor Burwash/ Indian and Northern Affairs. Departmental library albums, Library and Archives Canada/ PA-099571",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-15T03%3A46%3A08Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3368463&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,
Module 9 ,Brenda Morency 090209 ,University of Alberta/ Brenda Morency,No link,Copyright: Brenda Morency
Module 9 ,Alannah's footwear regalia,University of Alberta,No Link,Copyright: University of Alberta 
Module 9 ,Hearts,jessicahtam/Flickr CC BY 2.0 ,https://flic.kr/p/7DZ58V,https://creativecommons.org/licenses/by/2.0/
Module 9 ,"Four young girls wearing parkas outdoors Arctic, Northern Canada",Library and Archives Canada/Credit: Rosemary Gilliat Eaton/Rosemary Gilliat Eaton fonds/e010975255,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-01T22%3A49%3A35Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=4324138&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,© Library and Archives Canada. Reproduced with the permission of Library and Archives Canada
,,,,
Module 10,Montreal ,Lima Pix/Flickr/ CC BY 2.0,https://flic.kr/p/nqxyve,https://creativecommons.org/licenses/by/2.0/
Module 10,Vancouver from Grouse mountain,Adam Lindsay/Flickr/ CC BY 2.0,https://flic.kr/p/2E9L,https://creativecommons.org/licenses/by/2.0/
Module 10,Vancouver West End,Stewart Butterfield/Flickr/ CC BY 2.0,https://flic.kr/p/65owkd,https://creativecommons.org/licenses/by/2.0/
Module 10,Vancouver Canada,Nick Kenrick/Flickr/ CC BY 2.0,https://flic.kr/p/qZiCth,https://creativecommons.org/licenses/by/2.0/
Module 10,"Red River from Toronto-Dominion Centre, 201 Portage Ave, Winnipeg (501325)",Robert Linsdell/Flickr/ CC BY 2.0,https://flic.kr/p/oKgkBT,https://creativecommons.org/licenses/by/2.0/
Module 10,Festival in Park ,Warren Long/Flickr/ CC BY 2.0,https://flic.kr/p/c8ZpNj,https://creativecommons.org/licenses/by/2.0/
Module 10,Bill Reid and the Skidegate totem pole,"Dr. George MacDonald, Simon Fraser University - University Communications/Flickr/ CC BY 2.0",https://flic.kr/p/a9sLaT,https://creativecommons.org/licenses/by/2.0/
Module 10,Stuart Hall ,Unknown/ Wikimedia Commons/ Public Domain ,https://commons.wikimedia.org/wiki/File:Hall_Stuart.jpg#,https://creativecommons.org/publicdomain/mark/1.0/
Module 10,Wanuskewin Heritage Park,Rae McLeod/Flickr/ CC BY 2.0,https://flic.kr/p/8kXrLf,https://creativecommons.org/licenses/by/2.0/
Module 10,Brenda M painting,University of Alberta/ Brenda Morency,No link,Copyright: Brenda Morency
Module 10,Festival in Park 003,Warren Long/Flickr/ CC BY 2.0,https://flic.kr/p/c8Zq61,https://creativecommons.org/licenses/by/2.0/
Module 10,2015 06 20 Aboriginal Festival 012,Blake Handley/Flickr/ CC BY 2.0,https://flic.kr/p/vnUUve,https://creativecommons.org/licenses/by/2.0/
Module 10,Middle Class,Kat Baulu/Flickr/ CC BY 2.0,https://flic.kr/p/7GHwzp,https://creativecommons.org/licenses/by/2.0/
Module 10,Digging Roots,Bill Gordon/Flickr/ CC BY 2.0,https://flic.kr/p/o7UdoU,https://creativecommons.org/licenses/by/2.0/
Module 10,Festival in Park 004 ,Kim Kim/Flickr/ CC BY 2.0,https://flic.kr/p/7DoNpx,https://creativecommons.org/licenses/by/2.0/
Module 10,Festival in Park 001,Kim Kim/Flickr/ CC BY 2.0,https://flic.kr/p/7DoSiT,https://creativecommons.org/licenses/by/2.0/
Module 10,Aboriginals in the Workplace,Kat Baulu/Flickr/ CC BY 2.0,https://flic.kr/p/7GHxuv,https://creativecommons.org/licenses/by/2.0/
Module 10,Metis Fiddler Quartet,Bill Gordon/Flickr/ CC BY 2.0,https://flic.kr/p/nQv8Vf,https://creativecommons.org/licenses/by/2.0/
Module 10,Indigenous women street art,dignidadrebelde/Flickr/ CC BY 2.0,https://flic.kr/p/xGUbaD,https://creativecommons.org/licenses/by/2.0/
Module 10,2015 06 20 Aboriginal Festival 013,Blake Handley/Flickr/ CC BY 2.0,https://flic.kr/p/vofVo2,https://creativecommons.org/licenses/by/2.0/
Module 10,Protest or Gathering in City -003,Kim Kim/Flickr/ CC BY 2.0,https://flic.kr/p/7DsvRw,https://creativecommons.org/licenses/by/2.0/
Module 10,Protest or Gathering in City -002,Kim Kim/Flickr/ CC BY 2.0,https://flic.kr/p/7DswSj,https://creativecommons.org/licenses/by/2.0/
Module 10,Protest or Gathering in City -010,Kim Kim/Flickr/ CC BY 2.0,https://flic.kr/p/7DsBa3,https://creativecommons.org/licenses/by/2.0/
Module 10,"Regina Indian Residental School, students and school personnel, Saskatchewan, 1908 ","John Woodruff/ Quebec pageant, immigration views and miscellaneous, album 14/ Library and Archives Canada/PA-020921",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-05T21%3A23%3A32Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3316050&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 10,Anti Racism London 2016 ,Garry Knight/Flickr/ CC BY 2.0,https://flic.kr/p/Fuabvr,https://creativecommons.org/licenses/by/2.0/
Module 10,Closed Gate,Dwayne Madden/Flickr/ CC BY 2.0,https://flic.kr/p/9qNsST,https://creativecommons.org/licenses/by/2.0/
Module 10,There is more to learn,Dominic Dominic Jacques-Bernard/Flickr/ CC BY 2.0,https://flic.kr/p/bdK6i4,https://creativecommons.org/licenses/by/2.0/
Module 10,Multiculturalism,Pug50/Flickr/ CC BY 2.0,https://flic.kr/p/914nNU,https://creativecommons.org/licenses/by/2.0/
Module 10,Anti-Colonial Street Art Convergence,dignidadrebelde/Flickr/ CC BY 2.0,https://flic.kr/p/xnvwee,https://creativecommons.org/licenses/by/2.0/
Module 10,Anticolonialism finished ,dignidadrebelde/Flickr/ CC BY 2.0,https://flic.kr/p/xEKxc9,https://creativecommons.org/licenses/by/2.0/
Module 10,Snowflakes at night,Krystian Olszanski/Flickr/ CC BY 2.0,https://flic.kr/p/7oLqkz,https://creativecommons.org/licenses/by/2.0/
Module 10,Light on the Hill,Bruce Guenter/Flickr/ CC BY 2.0,https://flic.kr/p/ssprRd,https://creativecommons.org/licenses/by/2.0/
Module 10,Walking Away,Bruce Guenter/Flickr/ CC BY 2.0,https://flic.kr/p/7Ccbqy,https://creativecommons.org/licenses/by/2.0/
Module 10,City Backdrop,Bruce Guenter/Flickr/ CC BY 2.0,https://flic.kr/p/kxtiSq,https://creativecommons.org/licenses/by/2.0/
Module 10,Canada - SK - City of Saskatoon Police (felt),Dave Conner/Flickr/ CC BY 2.0,https://flic.kr/p/824a77,https://creativecommons.org/licenses/by/2.0/
Module 10,Vanishing Point ,Paul Bica/Flickr/ CC BY 2.0,https://flic.kr/p/5N1dL4,https://creativecommons.org/licenses/by/2.0/
Module 10,Bay Bloor Pedestrian Scramble,Raysonho/Wikimedia Commons/ Public domain CC BY 1.0 ,https://commons.wikimedia.org/wiki/File:BayBloorPedestrianScramble.jpg#,https://creativecommons.org/publicdomain/zero/1.0/deed.en
Module 10, Taktu cleaning fat from seal skin with an ulu,"Rosemary Gilliat Eaton/ National Film Board of Canada. Still Photography Division, Library and Archives Canada/ PA-146506",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-06T14%3A57%3A23Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3211014&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 10,Mère Inuit Pivurnituk,Martin Comeau/Flickr/ CC BY 2.0,https://www.flickr.com/photos/martincomeau72/14309097784/in/photolist-nNrSfu-4v9Ck6-4v9yiH-4v9yar-nNuQYB-cVMcum-dUKPw4-4vdFhf-dURprE-e5waNM-mVJJBf-kWsP2b-dLrf6w-6RAcxu-4vdKn5-h7P9s-mVGH2r-g2FJYN-dtT7jz-pAH7eg-9Xtacq-pmpy2M-boRVLk-6dFb8T-h75dqK-dgjYaN-g2FK61-nUYvFH-pmFL7F-p5cHhM-cLqKk1-nzmjfD-AfHDG-g58Kc-3GGNqM-eTeU4X-o15uY-g58Hg-c1RHTd-o15JU-naVxor-g58FV-8wsCDy-9y5isg-o15Ro-8wpxic-o15Vp-5k5dk8-8wpFAM-4v9BYT ,https://creativecommons.org/licenses/by/2.0/
Module 10,Inuit food ,Francis Bourgouin/Flickr/ CC BY 2.0,https://flic.kr/p/4v9BLD,https://creativecommons.org/licenses/by/2.0/
Module 10,Inuit on land ,Francis Bourgouin/Flickr/ CC BY 2.0,https://flic.kr/p/4v9xJn,https://creativecommons.org/licenses/by/2.0/
Module 10,Nukariik Inuit performers 1,D Coetzee/Flickr/ CC BY 2.0,https://flic.kr/p/6wcmPV,https://creativecommons.org/licenses/by/2.0/
Module 10,Importance of the Seal for Inuit Women,Women's Worlds//Flickr/ CC BY 2.0,https://flic.kr/p/a1PvjZ,https://creativecommons.org/licenses/by/2.0/
Module 10,Matuto in Iqaluit,US Embassy Canada/Flickr/ CC BY 2.0,https://flic.kr/p/vk6sms,https://creativecommons.org/licenses/by/2.0/
Module 10,"Airbus A380 arrives for cold weather testing - Iqaluit, Nunavut, Canada",Northern Pix/Flickr/ CC BY 2.0,https://flic.kr/p/jYmLa,https://creativecommons.org/licenses/by/2.0/
Module 10,The Canadian Museum for Human Rights as seen from The Forks Tower 02,Ccyyrree/Wikimedia Commons/Public Domain,https://commons.wikimedia.org/wiki/File:The_Canadian_Museum_for_Human_Rights_as_seen_from_The_Forks_Tower_02.JPG#,https://creativecommons.org/publicdomain/mark/1.0/
Module 10,Parliament Hill ,Lucas Gomes/Flickr/ CC BY 2.0,https://flic.kr/p/4erTeZ,https://creativecommons.org/licenses/by/2.0/
Module 10,The Canadian House of Commons ,Scazon/Flickr/ CC BY 2.0 ,https://flic.kr/p/5CrhHG,https://creativecommons.org/licenses/by/2.0/
Module 10,"Victoria, BC Legislature Chamber ",Herb Neufeld/Flickr/ CC BY 2.0 ,https://flic.kr/p/8sz9g2,https://creativecommons.org/licenses/by/2.0/
Module 10,Change for the better ,Robert Couse-Baker/Flickr/ CC BY 2.0 ,https://flic.kr/p/oD5tjD,https://creativecommons.org/licenses/by/2.0/
Module 10,Change,Conal Gallagher/Flickr/ CC BY 2.0 ,https://flic.kr/p/shmPZ8,https://creativecommons.org/licenses/by/2.0/
Module 10,Calgary street map,Qyd/ Wikimedia Commons/ Public Domain ,https://commons.wikimedia.org/wiki/File:Calgary_street_map.png#,https://creativecommons.org/publicdomain/mark/1.0/
Module 10,Calgary 2011,Thank you for visiting my page/Flickr/ CC BY 2.0 ,https://flic.kr/p/dQ6Dtm,https://creativecommons.org/licenses/by/2.0/
Module 10,Calgary in the Air,Dhinakaran Gajavarathan/Flickr/ CC BY 2.0 ,https://flic.kr/p/74aywj,https://creativecommons.org/licenses/by/2.0/
Module 10,Morning Sunshine Downtown Winnipeg,Dave Shaver/Flickr/ CC BY 2.0 ,https://flic.kr/p/51rZNH,https://creativecommons.org/licenses/by/2.0/
Module 10,Saskatoon city night lights,Bruce Guenter/Flickr/ CC BY 2.0,https://flic.kr/p/dvfvSo,https://creativecommons.org/licenses/by/2.0/
Module 10,Bridge to the East,Bruce Guenter/Flickr/ CC BY 2.0,https://flic.kr/p/djqxxQ,https://creativecommons.org/licenses/by/2.0/
Module 10,"Saskatoon, City of Lights",Bruce Guenter/Flickr/ CC BY 2.0,https://flic.kr/p/dtWMoA,https://creativecommons.org/licenses/by/2.0/
Module 10,Powell Street Festival at Oppenheimer Park,Guilhem Vellut//Flickr/ CC BY 2.0 ,https://flic.kr/p/a8vMdz,https://creativecommons.org/licenses/by/2.0/
Module 10,National Aboriginal Day 2014,University of the Fraser Valley/Flickr/ CC BY 2.0 ,https://flic.kr/p/nJjYbw,https://creativecommons.org/licenses/by/2.0/
Module 10,Idle No More forum at UFV,University of the Fraser Valley/Flickr/ CC BY 2.0 ,https://flic.kr/p/dPqcB5,https://creativecommons.org/licenses/by/2.0/
Module 10,Idle No More,OFL Communications Department/Flickr/ CC BY 2.0 ,https://flic.kr/p/pcyzXd,https://creativecommons.org/licenses/by/2.0/
,,,,
Module 11,United Nations,BOMBMAN/Flickr/ CC BY 2.0 ,https://flic.kr/p/qSLH3,https://creativecommons.org/licenses/by/2.0/
Module 11,National Aboriginal Day 2014,University of the Fraser Valley/Flickr/ CC BY 2.0 ,https://flic.kr/p/nJkaCh,https://creativecommons.org/licenses/by/2.0/
Module 11,Cruise ship moored in Kimmirut Harbour,Mike Beauregard/Wikimedia Commons/ CC BY 2.0,https://commons.wikimedia.org/wiki/File:Cruise_ship_moored_in_Kimmirut_Harbour.jpg,https://creativecommons.org/licenses/by/2.0/
Module 11,Reconciliation March Vancouver,Walk for Reconciliation - Image # 05056000,http://www.ctvnews.ca/canada/residential-schools-reconciliation-walk-draws-thousands-in-vancouver-1.1465736,Credit: Canadian Press
Module 11,110104 Brenda M painting,University of Alberta/ Brenda Morency,No link,Copyright: Brenda Morency
Module 11,National Aboriginal Day 2014,University of the Fraser Valley/Flickr/ CC BY 2.0 ,https://flic.kr/p/nJjUFp,https://creativecommons.org/licenses/by/2.0/
Module 11,Inuit Kayaker,David Stanley/Flickr/ CC BY 2.0 ,https://flic.kr/p/GpYoAd,https://creativecommons.org/licenses/by/2.0/
Module 11,Two spirit pride,Steven Damron/Flickr/ CC BY 2.0 ,https://flic.kr/p/9XajJz,https://creativecommons.org/licenses/by/2.0/
Module 11,Murdered and missing Indigenous women,Thien V/ Howl Arts Collective/Flickr/ CC BY 2.0 ,https://flic.kr/p/gsU9L3,https://creativecommons.org/licenses/by/2.0/
Module 11,Murdered and missing Indigenous women,Thien V/ Howl Arts Collective/Flickr/ CC BY 2.0 ,https://flic.kr/p/gsUqiH,https://creativecommons.org/licenses/by/2.0/
Module 11,"Loretta Saunders - Vigil in Ottawa, March 5, 2014",ibourgeault_tasse/Flickr/ CC BY 2.0,https://flic.kr/p/kL1SvC,https://creativecommons.org/licenses/by/2.0/
Module 11,Idle No More,OFL Communications Department/Flickr/ CC BY 2.0,https://flic.kr/p/pcyzXd,https://creativecommons.org/licenses/by/2.0/
Module 11,Idle No More KXL Solidarity Rally,Tar Sands Blockade/Flickr/ CC BY 2.0,https://flic.kr/p/dHPAGF,https://creativecommons.org/licenses/by/2.0/
Module 11,Idle No More KXL Solidarity Rally,Tar Sands Blockade/Flickr/ CC BY 2.0,https://flic.kr/p/dHPK2x,https://creativecommons.org/licenses/by/2.0/
Module 11,Pipeline,Brian Cantoni/Flickr/ CC BY 2.0,https://flic.kr/p/7K7uSZ,https://creativecommons.org/licenses/by/2.0/
Module 11,Unistoten solidarity,Tar Sands Blockade/Flickr/ CC BY 2.0,https://flic.kr/p/dwUUij,https://creativecommons.org/licenses/by/2.0/
Module 11,Oka City Sign,"08985815 Highway 344 heading into the town of Oka is seen Thursday, June 18, 2015 in Kanesatake, Que. July 11, 2015 will mark the 25th anniversary of the start of the Oka Crisis",No link to image ,Credit: THE CANADIAN PRESS/Ryan Remiorz
Module 11,Oka City Sign Chronicle Heral,"08985815 Highway 344 heading into the town of Oka is seen Thursday, June 18, 2015 in Kanesatake, Que. July 11, 2015 will mark the 25th anniversary of the start of the Oka Crisis",No link to image ,Credit: THE CANADIAN PRESS/Ryan Remiorz
Module 11,Oka face to face,"Canadian soldier Patrick Cloutier and Saskatchewan Native Brad Laroque alias """"Freddy Kruger"""" come face to face in a tense standoff at the Kahnesatake reserve in Oka, Que., Saturday September 1, 1990.",No link to image ,Credit: THE CANADIAN PRESS/Shaney Komulainen
Module 11,Idle No More OKC/Flickr/ CC BY 2.0,Uyvsdi/ Wikimedia Commons/ Public Domain,https://commons.wikimedia.org/wiki/File:Idle_no_more_okc.jpg#,https://creativecommons.org/publicdomain/mark/1.0/
Module 11,Oka Related,Thien V/ Howl Arts Collective/Flickr/ CC BY 2.0 ,https://flic.kr/p/hFmCbw,https://creativecommons.org/licenses/by/2.0/
Module 11,Oka Related,Thien V/ Howl Arts Collective/Flickr/ CC BY 2.0 ,https://flic.kr/p/hFmAHb,https://creativecommons.org/licenses/by/2.0/
Module 11,Oka Related,Thien V/ Howl Arts Collective/Flickr/ CC BY 2.0 ,https://flic.kr/p/hFmzDs,https://creativecommons.org/licenses/by/2.0/
Module 11,Canada geese in Impacted Portion of Yellowstone River,David Rouse/USFWS Mountain-Prairie/ Flickr/ CC BY 2.0,https://flic.kr/p/a2i1nR,https://creativecommons.org/licenses/by/2.0/
Module 11,Oka Related,Thien V/ Howl Arts Collective/Flickr/ CC BY 2.0 ,https://flic.kr/p/hFmwYN,https://creativecommons.org/licenses/by/2.0/
Module 11,Oka Related,Thien V/ Howl Arts Collective/Flickr/ CC BY 2.0 ,https://flic.kr/p/hFn2py,https://creativecommons.org/licenses/by/2.0/
Module 11,Rally against Kinder Morgan oil pipeline on Burnaby Mountain,Mark Klotz/Flickr/ CC BY 2.0,https://flic.kr/p/pPpz2s,https://creativecommons.org/licenses/by/2.0/
Module 11,People vs pipelines,David Meurin/Flickr/ CC BY 2.0,https://flic.kr/p/ynNJY4,https://creativecommons.org/licenses/by/2.0/
Module 11,Oka Related,Thien V/ Howl Arts Collective/Flickr/ CC BY 2.0 ,https://flic.kr/p/hFmxr1,https://creativecommons.org/licenses/by/2.0/
Module 11,Idle No More Mall ,Tiffany Joseph/Flickr/ CC BY 2.0,https://flic.kr/p/dDCa7P,https://creativecommons.org/licenses/by/2.0/
,,,,
Module 12,120102 Brenda M Painting ,University of Alberta/ Brenda Morency,No link,Copyright: Brenda Morency
Module 12,Moose Hair Tufting,University of Alberta,No Link,Copyright: University of Alberta 
Module 12,1491s with Bill Reid's famous clamshell,US Embassy Canada/Flickr/ CC BY 2.0,https://flic.kr/p/dWTDnZ,https://creativecommons.org/licenses/by/2.0/
Module 12,1491s,US Embassy Canada/Flickr/ CC BY 2.0,https://flic.kr/p/dWZiju,https://creativecommons.org/licenses/by/2.0/
Module 12,1491s banter with the audience,US Embassy Canada/Flickr/ CC BY 2.0,https://flic.kr/p/dWZipd,https://creativecommons.org/licenses/by/2.0/
Module 12,NEPE 2194 Necklace,Nez Perce/Flickr/ CC BY 2.0,https://commons.wikimedia.org/wiki/File:NEPE2194_Necklace.jpg#,https://creativecommons.org/licenses/by/2.0/
Module 12,Scratched Copper 4,Mike Jennings/Flickr/ CC BY 2.0 ,https://flic.kr/p/4nKugr,https://creativecommons.org/licenses/by/2.0/
Module 12,Copper A Metal for the Ages,U.S. Geological Survey/Flickr/ CC BY 2.0,https://flic.kr/p/o1j1cL,https://creativecommons.org/licenses/by/2.0/
Module 12,Turquoise with quartz,Aram Dulyan (Aramgutang)/Wikimedia Commons/ Public Domain,https://commons.wikimedia.org/wiki/File:Turquoise_with_quartz.jpg#,Copyright: Public Domain
Module 12,82 Pipestone Quarry Rock Pile,cariliv/Flickr/ CC BY 2.0,https://flic.kr/p/8gZe3B,https://creativecommons.org/licenses/by/2.0/
Module 12,Totem pole,Dano/Flickr/ CC BY 2.0,https://flic.kr/p/joBTW,https://creativecommons.org/licenses/by/2.0/
Module 12,Creaser,"Creaser, early 20th Century, Coast Salish, cedar wood, Collection of Glenbow, Calgary, Canada, AA 211 Glenbow Archives NA-949-34",No link to image,Copyright: Glenbow Archives NA-949-34
Module 12,Moccasins,University of Alberta,No Link,Copyright: University of Alberta 
Module 12,Mukluks,University of Alberta,No Link,Copyright: University of Alberta 
Module 12,Three-Quarter View - Orca and Thunderbird Bentwood Box - Bruce Alfred,A.Davey/Flickr/ CC BY 2.0,https://flic.kr/p/6RxLJn,https://creativecommons.org/licenses/by/2.0/
Module 12,Corner Detail - Orca and Thunderbird Bentwood Box - Bruce Alfred,A.Davey/Flickr/ CC BY 2.0,https://flic.kr/p/6RxNWH,https://creativecommons.org/licenses/by/2.0/
Module 12,Lee's Baleen Basket IV,jomilo75/Flickr/ CC BY 2.0,https://flic.kr/p/HfMGx,https://creativecommons.org/licenses/by/2.0/
Module 12,Earrings,University of Alberta,No Link,Copyright: University of Alberta 
Module 12,"Collection of 3 pieces of Sioux Indian bead work on display, ca. 1900",University of Southern California. Libraries” and “California Historical Society/ CC BY 3.0 ,http://digitallibrary.usc.edu/cdm/ref/collection/p15799coll65/id/16500,https://creativecommons.org/licenses/by/3.0/
Module 12,Tule Springs,Alisha Vargas/Flickr/ CC BY 2.0,https://flic.kr/p/5YeDBv,https://creativecommons.org/licenses/by/2.0/
Module 12,Caliche - Sedimentary Rock Ridgecrest Kern County California,Dave Dyet/Flickr/ CC BY 2.0,https://commons.wikimedia.org/wiki/File:Caliche_-_Sedimentary_Rock_Ridgecrest_Kern_County_California.jpg#,
Module 12,2010 Santa Fe Indian Market,Larry Lamsa/Flickr/ CC BY 2.0,https://flic.kr/p/8uW1aJ,https://creativecommons.org/licenses/by/2.0/
Module 12,Porcupine Parade!,Holly Occhipinti/Flickr/ CC BY 2.0,https://flic.kr/p/eqKF87,https://creativecommons.org/licenses/by/2.0/
Module 12,Porcupine,USFWSmidwest,https://flic.kr/p/9D6qzp,https://creativecommons.org/licenses/by/2.0/
Module 12,Upper MO quillwork pre1804 UPenn,Uyvsdi/Wikimedia Commons/ Public Domain,https://commons.wikimedia.org/wiki/File:Upper_MO_quillwork_pre1804_UPenn.jpg#,
Module 12,Beads Clothing ,Neeta Lind/Flickr/ CC BY 2.0,https://flic.kr/p/4Qr1EZ,https://creativecommons.org/licenses/by/2.0/
Module 12,"Collection of 6 pieces of Sioux Indian bead work (belts?) on display, ca.1900 (CHS-4055)",Ashley Van Haeften/Flickr/ CC BY 2.0,https://flic.kr/p/qZpum9,https://creativecommons.org/licenses/by/2.0/
Module 12,"Collection of Mojave Indian bead work on display, ca.1900 (CHS-3424)",Ashley Van Haeften/Flickr/ CC BY 2.0,https://flic.kr/p/qjXHku,https://creativecommons.org/licenses/by/2.0/
Module 12,"Great Lakes Girls, 2008","Terri Greeves,  Brooklyn Museum, Gift of Stanley J. Love, by exchange, 2009.1a-b/ CC BY ",https://www.brooklynmuseum.org/opencollection/objects/186543#,https://creativecommons.org/licenses/by/3.0/
Module 12,Beaded jacket ,University of Alberta,No Link,Copyright: University of Alberta 
Module 12,"Nadia Myre, Indian Act, 2000-03 ",Mark B.Schlemmer/Flickr/ CC BY 2.0,https://flic.kr/p/jwXdvd,https://creativecommons.org/licenses/by/2.0/
Module 12,Beads,Barta IV/Flickr/ CC BY 2.0,https://flic.kr/p/zcLphS,https://creativecommons.org/licenses/by/2.0/
Module 12,Three-Quarter View - Orca and Thunderbird Bentwood Box - Bruce Alfred,A.Davey/Flickr/ CC BY 2.0,https://flic.kr/p/6RxLJn,https://creativecommons.org/licenses/by/2.0/
Module 12,Plains Indian headdress,in pastelFlickr/CC BY 2.0,https://flic.kr/p/7xMH3s,https://creativecommons.org/licenses/by/2.0/
Module 12,Haida Gwaii,Green Fire Productions/Flickr/CC BY 2.0,https://flic.kr/p/niQeor,https://creativecommons.org/licenses/by/2.0/
Module 12,Indians of Canada Pavilion at Expo 67,Library and Archives Canada/Canadian Corporation for the 1967 World Exhibition fonds/e000990878,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-27T20%3A50%3A22Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3198376&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,© Government of Canada. Reproduced with the permission of Library and Archives Canada (2016)
Module 12,Winnipeg Art Gallery ,Mark Goebel/Flickr/CC BY 2.0,https://flic.kr/p/5F7s3j,https://creativecommons.org/licenses/by/2.0/
Module 12,Bill Reid and the Skidegate totem pole,Dr. George MacDonald/ Simon Fraser University - University Communications/Flickr/CC BY 2.0,https://flic.kr/p/a9sLaT,https://creativecommons.org/licenses/by/2.0/
Module 12,National Art Gallery in Ottawa,"William James Topley, Topley Series E, Library and Archives Canada/ PA-028160",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-22T17%3A57%3A49Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3424153&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 12,Photo of Tracy Bear's 1st set of vamps, Tracy Bear/Walking With Our Sisters, http://walkingwithoursisters.ca/art/tracy-lee-bear/,Copyright: Tracy Bear 
Module 12,Photo of Tracy Bear's 2nd set of vamps, Tracy Bear/Walking With Our Sisters,http://walkingwithoursisters.ca/art/tracy-lee-bear-2/?portfolioID=357,Copyright: Tracy Bear 
Module 12,Winnipeg aerial,edkohler/Flickr/CC BY 2.0,https://flic.kr/p/38zwYj,https://creativecommons.org/licenses/by/2.0/
Module 12,Winnipeg,Herb Neufeld/Flickr/CC BY 2.0,https://flic.kr/p/aHWmer,https://creativecommons.org/licenses/by/2.0/
Module 12,Buffy St Marie,Bryan Ledgard/Flickr/CC BY 2.0,https://flic.kr/p/6LumZ8,https://creativecommons.org/licenses/by/2.0/
Module 12,Indigenous Music ,David Carroll/Flickr/CC BY 2.0,https://flic.kr/p/5baZaz,https://creativecommons.org/licenses/by/2.0/
,,,,
